Observation,Plot_number,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,psme,x,y
39,3109,7.466666698,18.04999924,-3.299999952,419,70,14,53.90262604,193,52,57,12.96666622,35.23550797,866.2833862,27.79999924,-9,36.79999924,-2.633333206,17.53333282,0,-120.1041667,47.92916667
40,3264,5.670833111,13.76666641,-1.933333397,2098,343,38,63.63610458,999,163,185,9.808333397,35.28177261,649.2249146,22,-5.800000191,27.79999924,-1.450000048,13.64999962,0,-121.2375,47.82916667
41,3930,4.487500191,12.39999962,-2.633333206,1955,308,45,60.16414642,911,177,190,9.774999619,35.9375,622.8640747,20.5,-6.699999809,27.20000076,-2.216666698,12.14999962,0,-121.2791667,48.20416667
42,1255,6.454166412,13.53333282,0.383333296,2020,331,36,63.18638229,954,156,167,10.02499962,39.6245079,545.8331909,21.89999962,-3.400000095,25.29999924,0.766666651,13.28333282,0,-121.7791667,46.4875
43,4228,5.095833302,13.58333302,-2.933333397,1252,230,19,70.87708282,633,90,95,9.225000381,32.94643021,678.5360718,21.5,-6.5,28,-2.266666651,13.39999962,1,-121.1208333,47.04583333
44,1205,6.054166794,12.91666603,0.333333284,2449,388,45,60.45802689,1125,196,208,9.591667175,39.47188187,524.3717651,20.89999962,-3.400000095,24.29999924,0.75,12.61666679,0,-122.0125,46.57916667
45,509,6.9375,14.61666679,-0.216666654,1641,277,23,68.21929169,804,111,124,11.52499962,40.15679169,609.2734985,24.20000076,-4.5,28.70000076,0.400000006,14.48333359,1,-121.6875,46.2125
46,395,4.741666794,11.88333321,-1.116666675,2222,364,38,62.52695084,1039,173,183,8.966666222,36.8998642,540.0834351,19.39999962,-4.900000095,24.29999924,-0.650000036,11.4333334,1,-121.7458333,46.4875
47,1959,4.174999714,13.11666679,-4.216666698,966,151,30,54.52880096,438,110,116,11.4333334,35.72916794,717.6112671,22.39999962,-9.600000381,32,-3.683333397,13.09999943,1,-120.3958333,48.07083333
48,2250,5.491666794,14.75,-3.666666508,786,144,15,67.81483459,397,70,71,11.10000038,34.57944107,756.3093262,23.89999962,-8.199999809,32.09999847,-2.983333349,14.66666603,1,-120.6041667,47.35416667
49,1021,7.241666794,14.23333359,1.25,1951,311,37,61.31595612,910,155,170,10.3166666,40.77733994,539.3297119,22.79999924,-2.5,25.29999924,1.566666603,14.01666641,1,-121.7791667,46.5625
50,2178,5.375,15.46666622,-4.933333397,419,51,23,26.02258873,138,77,97,12.5666666,35.20074844,834.8094482,25,-10.69999981,35.70000076,-4.366666794,11.6833334,1,-119.7375,48.62083333
51,3907,5.445833206,13.16666698,-1.566666603,2398,380,46,58.87928009,1090,202,222,7.608333111,31.05442238,607.859375,19.89999962,-4.599999905,24.5,-1.033333302,12.89999962,0,-121.5458333,47.37083333
52,4235,5.845833302,14.33333302,-2.066666603,627,109,11,67.38773346,311,47,47,11.59166718,37.51348495,669.7030029,24.5,-6.400000095,30.89999962,-1.100000024,14.33333302,1,-120.7291667,45.9875
53,3313,1.933333397,10.61666679,-5.933333397,1317,209,36,56.4764061,601,138,138,10.41666698,34.95525742,684.6044922,19.10000038,-10.69999981,29.79999924,-5.466666698,10.61666679,0,-120.6541667,47.94583333
54,3686,1.291666627,10.4333334,-6.949999809,1001,149,37,46.84643173,426,128,128,10.9333334,34.8195343,719.6900635,19.39999962,-12,31.39999962,-6.449999809,10.4333334,0,-120.3125,48.1375
55,4645,8.195833206,17,-0.466666669,409,73,7,69.86633301,211,29,30,13.4416666,39.7682457,713.590332,28.5,-5.300000191,33.79999924,0.316666633,16.98333359,0,-120.7208333,45.8875
56,2254,4.095833302,13.30000019,-4.733333588,1280,223,25,67.08187103,636,107,111,10.375,33.25320435,743.9863892,22.10000038,-9.100000381,31.20000076,-4.083333492,13.26666641,1,-120.7458333,47.52916667
57,1082,6.808333397,14.28333282,0.083333291,1911,306,38,61.37236404,893,157,171,8.983333588,35.93333435,586.9909058,21.79999924,-3.200000048,25,0.49999997,14.10000038,1,-121.5791667,47.12916667
58,1895,8.774999619,15.16666698,2.916666746,1532,226,50,46.23041153,627,179,182,8.733333588,38.47283554,505.3059387,22,-0.699999988,22.70000076,3.266666651,14.98333359,1,-122.2041667,48.57916667
59,4663,7.370833397,15.91666698,-0.766666651,708,128,9,73.94032288,369,46,47,12.42500019,38.94984055,681.173645,26.70000076,-5.199999809,31.90000153,0.01666671,15.78333378,0,-121.0708333,45.97916667
60,1969,5.712500095,14.86666679,-3.350000143,749,138,14,69.18813324,382,65,65,11.10833359,35.04206085,748.2559204,23.89999962,-7.800000191,31.70000076,-2.683333397,14.86666679,1,-120.6541667,47.2375
61,4522,5.554166794,13.76666641,-1.933333278,1277,226,18,70.72296143,641,86,89,10.75833321,36.84360504,644.1112671,23.10000038,-6.099999905,29.20000076,-1.166666627,13.5666666,0,-121.3375,46.12916667
62,608,6.525000095,13.86666679,0.166666672,2266,367,37,63.21327972,1065,170,184,10.46666718,39.79721069,565.3659668,22.70000076,-3.599999905,26.30000114,0.699999928,13.58333397,1,-121.9958333,46.32083333
63,1828,6.512499809,16.25,-3.25,588,109,13,67.7964859,299,55,56,12.125,35.45321655,799.3609009,26,-8.199999809,34.20000076,-2.599999905,16.10000038,1,-120.4208333,47.59583333
64,2087,5.779166698,16.14999962,-4.800000191,596,98,24,52.71375275,271,77,84,13.24166679,35.88527679,854.6835327,26.29999924,-10.60000038,36.90000153,-4.166666985,15.78333282,1,-120.2958333,48.4125
65,3901,7.724999905,18.51666641,-3.200000048,342,39,18,26.86709213,105,63,90,12.98333359,35.18518448,881.541748,28,-8.899999619,36.90000153,-2.700000048,13.83333302,0,-119.6291667,48.8375
66,2123,6.866666794,13.55000019,0.966666639,1828,283,56,50.69469452,779,202,202,7.599999905,34.23423386,521.0581055,19.89999962,-2.299999952,22.19999886,1.349999905,13.55000019,1,-122.2875,48.77083333
67,3945,5.958333492,13.30000019,-0.650000036,1951,301,54,53.11036682,849,198,213,8.666666985,34.80588913,576.9938965,20.60000038,-4.300000191,24.90000153,-0.233333394,13.0666666,0,-121.7708333,48.65416667
68,2323,8.550000191,14.88333321,2.766666651,1554,230,48,48.32448959,648,172,178,8.600000381,38.22222137,500.1454468,21.70000076,-0.800000012,22.5,3.166666746,14.71666718,1,-122.1708333,48.45416667
69,3919,8.270833015,15.0666666,1.899999976,1756,268,51,51.07649612,747,183,192,8.858333588,37.21988678,541.9890137,22.20000076,-1.600000024,23.80000114,2.416666746,14.88333321,0,-121.9458333,48.60416667
70,2441,6.220833302,13.63333321,-0.566666722,2080,323,46,60.58884811,964,174,200,9.491666794,36.78940582,590.0441284,21.5,-4.300000191,25.79999924,-0.216666698,13.51666641,1,-121.4875,48.25416667
71,910,8.333333015,14.71666622,3.050000191,2028,305,43,56.6546669,907,183,190,10.05000019,42.76595688,484.6851501,22.79999924,-0.699999988,23.5,3.350000143,14.39999962,1,-122.2791667,46.7625
72,4105,3.9375,12.26666641,-3.400000095,1524,270,27,67.1437149,748,121,124,9.158333778,33.30302811,646.374939,20.20000076,-7.300000191,27.5,-2.716666698,12.01666641,1,-121.1708333,46.82083333
73,1612,5.566666603,15.5,-4.166666985,796,141,18,65.5528183,395,72,74,12.11666679,35.22286987,806.8100586,25.29999924,-9.100000381,34.40000153,-3.516666889,15.23333359,1,-120.4791667,47.77083333
74,430,6.566666603,13.86666679,-0.083333336,2092,346,30,65.51935577,997,147,161,10.73333359,39.75308609,574.8530884,22.79999924,-4.199999809,27,0.466666669,13.6833334,1,-121.8625,46.04583333
75,2588,7.716666698,17.45000076,-2.016666651,720,145,12,80.59052277,402,52,52,12.94999981,37.42774582,795.1395874,27.60000038,-7,34.59999847,-1.483333349,17.45000076,1,-120.6291667,47.70416667
76,319,9.233333588,15.75,3.450000048,1697,251,36,54.7667923,747,159,164,11.05000019,43.84920502,510.7629395,24.39999962,-0.800000012,25.19999886,3.716666698,15.63333321,1,-122.1458333,46.7375
77,3249,4.495833397,12.21666718,-2.366666794,1969,295,51,55.83256149,882,193,202,9.391666412,35.4402504,605.3603516,20.10000038,-6.400000095,26.5,-2,11.94999981,0,-121.4458333,48.40416667
78,1241,3.308333397,11.41666603,-3.25,1772,302,30,65.13422394,849,136,140,9.433333397,34.80934906,601.1459961,19.79999924,-7.300000191,27.09999847,-2.583333492,10.69999981,0,-121.4125,46.14583333
79,2325,8.537500381,15.75,1.649999976,1997,307,45,58.50192261,902,165,198,10.09166622,38.66539001,581.4993286,23.79999924,-2.299999952,26.09999847,2.183333397,15.6833334,1,-121.5791667,48.30416667
80,1907,8.412500381,15.51666641,1.550000072,1904,291,48,55.24816132,839,175,198,9.574999809,37.84584808,573.6411743,23.20000076,-2.099999905,25.30000114,2.216666698,15.39999962,1,-121.7208333,48.45416667
81,1599,6.495833397,15.94999981,-3,701,134,13,73.0324707,370,59,59,11.60833263,35.17676926,775.1318359,25.29999924,-7.699999809,33,-2.283333302,15.94999981,1,-120.6041667,47.4625
82,2492,6.008333206,16.03333282,-4.066666603,549,97,16,61.30786133,268,60,64,12.41666698,35.47619247,822.0977173,25.79999924,-9.199999809,35,-3.399999857,15.69999981,1,-120.2875,47.9375
83,3240,4.637499809,12.36666679,-2.283333302,1944,301,46,58.75610733,894,180,193,9.725000381,36.15241623,608.9227295,20.39999962,-6.5,26.89999962,-1.949999928,12.13333321,0,-121.3458333,48.30416667
84,4400,4.824999809,13.16666698,-2.950000048,1457,265,23,69.95545959,729,106,113,8.699999809,31.98529434,662.246521,20.79999924,-6.400000095,27.19999886,-2.333333254,12.96666622,1,-121.2375,47.02083333
85,2924,6.870833397,17.54999924,-4.166666985,348,42,19,26.36189461,108,66,97,12.84166622,34.70720673,881.9875488,27.39999962,-9.600000381,37,15.14999962,13.1833334,0,-119.5375,48.9375
86,1834,7.0625,17.29999924,-3.25,596,113,13,71.06924438,312,54,55,12.97500038,36.34453964,838.8117065,27.5,-8.199999809,35.70000076,-2.533333302,16.89999962,1,-120.4375,47.87083333
87,1161,8.616666794,15.8166666,1.966666698,2212,363,32,65.47189331,1052,156,171,11.09999943,41.11111069,571.387207,25,-2,27,2.466666698,15.73333359,1,-122.0375,46.14583333
88,2390,5.341666698,15.64999962,-5.050000191,480,69,23,38.71831131,190,73,87,12.60000038,34.90304565,845.3800659,25.29999924,-10.80000019,36.09999847,-4.483333111,15.30000019,1,-119.9291667,48.29583333
89,4165,8.633333206,17.43333244,-0.083333336,598,114,7,79.3334198,325,34,34,12.61666679,38.82051086,712.5604858,28.10000038,-4.400000095,32.5,0.699999988,17.43333244,1,-121.1458333,45.9875
90,1059,7.237500191,14.51666641,0.51666671,2069,343,29,66.18649292,991,143,158,10.99166679,40.41053772,576.4196777,23.60000038,-3.599999905,27.20000076,1.083333373,14.36666679,1,-121.8958333,46.04583333
91,4664,10.61250019,19.93333244,1.450000048,434,81,6,75.56166077,231,26,26,12.75833321,38.66161728,751.1721802,30.10000038,-2.900000095,33,2.083333254,19.93333244,0,-121.0791667,45.8375
92,3513,2.512500048,11.10000038,-5.349999905,1323,195,46,50.0181427,577,164,164,10.54166698,35.37472153,684.2186279,19.60000038,-10.19999981,29.79999924,-5,11.10000038,0,-120.9875,48.6625
93,917,8.141666412,14.9333334,2.183333397,2514,402,40,62.62255096,1168,189,202,10.80000019,42.51968384,526.75177,23.70000076,-1.700000048,25.40000153,2.616666555,14.6833334,1,-122.3291667,46.14583333
94,1616,7.495833397,17.33333397,-2.533333302,605,118,11,76.00016022,327,49,49,12.59166718,36.28722382,808.8500977,27.20000076,-7.5,34.70000076,-1.866666675,17.33333397,1,-120.5875,47.5125
95,431,5.483333588,12.80000019,-0.683333337,2191,360,35,63.77991104,1034,162,174,9.766666412,38.45144272,554.9296875,21,-4.400000095,25.39999962,-0.116666712,12.3166666,1,-121.8541667,46.2875
96,3207,2.120833397,11.05000019,-5.933333397,1274,195,40,52.40757751,565,144,144,10.35833359,33.85076141,706.8768311,19.70000076,-10.89999962,30.60000038,-5.549999714,11.05000019,0,-120.6458333,48.15416667
97,1390,5.449999809,13.08333302,-0.699999988,2645,421,43,61.38414001,1217,203,217,9.983333588,38.10432434,567.994873,21.70000076,-4.5,26.20000076,-0.183333322,12.48333359,0,-122.1458333,46.17083333
98,2109,8.716666222,15.86666679,1.683333397,1852,290,49,55.80831909,824,175,194,9.399999619,37.00787354,582.5310669,23.5,-1.899999976,25.39999962,2.333333254,15.80000019,1,-121.6875,48.62083333
99,4331,4.675000191,13.10000038,-3.099999905,1272,233,21,70.19703674,640,94,98,9.383333206,33.51190186,665.4373169,21.20000076,-6.800000191,28,-2.349999905,12.91666698,1,-121.1291667,46.87916667
100,1648,2.641666651,11.6833334,-6.116666794,867,120,43,39.5503006,351,137,148,11.53333282,35.81780624,736.9434204,20.79999924,-11.39999962,32.19999695,-5.650000095,11.64999962,1,-120.6458333,48.92083333
101,3083,3.804166555,11.23333359,-2.616666794,1794,272,59,50.63842773,774,205,205,8.341666222,33.90921402,575.8095703,18.20000076,-6.400000095,24.60000038,-2.266666651,11.23333359,0,-121.8375,48.87083333
102,2491,5.358333111,14.46666622,-3.483333349,1199,215,24,69.91082001,611,97,97,12.03333282,37.0256424,739.9165649,24.10000038,-8.399999619,32.5,-3.049999952,14.46666622,1,-120.7625,47.99583333
103,1643,3.541666746,13.14999962,-5.733333588,733,104,35,41.21188736,300,112,126,12.03333282,35.49655914,779.3232422,22.60000038,-11.30000019,33.90000153,-5.25,13.01666641,1,-120.3208333,48.62916667
104,3295,2.979166508,11.58333302,-4.983333588,1926,315,39,61.65578461,907,169,181,9.308333397,32.54661942,678.9880981,19.5,-9.100000381,28.60000038,-4.383333206,11.25,0,-121.0625,47.70416667
105,2251,5.229166508,14.13333321,-3.583333254,1349,248,21,73.70876312,703,94,107,10.77499962,35.09771729,729.3130493,23.10000038,-7.599999905,30.70000076,-2.899999857,14.10000038,1,-120.9291667,47.60416667
106,617,6.158333302,13.6833334,-0.649999976,1623,276,24,67.26434326,793,113,124,10.73333359,39.3162384,589.1088257,22.70000076,-4.599999905,27.30000114,-0.049999993,13.44999981,1,-121.6125,46.3375
107,1123,7.175000191,14.25,1.083333373,1895,302,37,61.02173996,883,153,165,10.35000038,40.74803162,547.338623,22.79999924,-2.599999905,25.39999962,1.399999976,14.0666666,1,-121.7541667,46.6125
108,768,6.604166508,14.26666641,-0.50000006,1694,288,24,68.23329163,830,114,128,11.22500038,39.52464676,607.7584229,23.60000038,-4.800000191,28.40000153,0.083333276,14.14999962,1,-121.6875,46.1875
109,2477,6.458333492,16,-3.066666603,647,122,13,71.31724548,338,57,57,12.10000038,35.90504456,782.2224731,25.70000076,-8,33.70000076,-2.483333349,16,1,-120.4875,47.64583333
110,782,8.654166222,15.58333302,2.283333302,2487,401,36,63.72314453,1160,178,193,10.89166641,41.89102554,544.3196411,24.60000038,-1.399999976,26,2.933333397,15.30000019,1,-122.1875,45.95416667
111,2593,2.529166698,11.78333282,-5.950000286,1446,224,41,55.57342529,657,156,156,10.52499962,33.62619781,733.5606079,20.60000038,-10.69999981,31.29999924,-5.533333302,11.78333282,1,-120.9625,48.39583333
112,620,4.262499809,12.01666641,-2.5,1699,289,27,65.99311066,819,123,131,9.591666222,36.05889511,595.09021,20.20000076,-6.400000095,26.60000038,-1.833333373,11.5666666,1,-121.4625,46.37916667
113,1461,-5.145833492,0.850000024,-9.050000191,2534,410,63,59.21966934,1160,241,241,7.508333206,36.98686218,433.8278809,6.800000191,-13.5,20.29999924,-8.75,0.850000024,0,-121.7625,46.87083333
114,1990,7.129166603,17.85000038,-4.016666889,418,72,16,53.13441086,191,53,63,13.32499981,35.34482956,888.1529541,27.89999962,-9.800000191,37.70000076,-3.316666842,17.36666679,1,-120.1291667,48.1625
115,1375,0.775000036,8.816666603,-5.400000095,2064,343,39,61.72410583,962,174,174,8.916666985,34.03307724,587.3999023,16.70000076,-9.5,26.20000076,-4.800000191,8.816666603,0,-121.4375,46.2125
116,3661,7.470833302,16.54999924,-1.566666722,783,143,13,72.8807373,409,58,58,11.59166718,36.68248749,741.697876,25.60000038,-6,31.60000038,-0.966666639,16.54999924,0,-121.0291667,47.17083333
117,3993,5.270833492,15.63333321,-5.283333302,459,56,25,26.90007591,157,83,101,12.875,35.08174515,853.5446167,25.5,-11.19999981,36.70000076,-4.683333397,15.30000019,0,-119.7291667,48.5875
118,882,6.387499809,13.53333378,0.433333308,2551,412,37,62.88443375,1184,185,202,9.908332825,39.47543335,539.848999,21.79999924,-3.299999952,25.09999847,1.033333302,12.96666622,1,-122.1208333,45.82916667
119,1165,5.216666698,13.61666679,-2.833333254,1791,307,30,65.19320679,859,134,151,7.800000191,29.54545403,675.0836182,20.70000076,-5.699999809,26.40000153,-2.116666555,13.4333334,1,-121.3041667,47.22083333
120,1913,5.870833397,13.5666666,-1.149999976,2078,324,45,60.71720505,964,173,199,9.758333206,36.68546295,609.4612427,21.70000076,-4.900000095,26.60000038,-0.75,13.36666679,1,-121.3875,48.1875
121,2788,8.183333397,15.36666679,1.266666651,1842,288,51,54.08061981,805,181,197,9.083333015,36.18857956,580.2246094,22.89999962,-2.200000048,25.10000038,1.866666675,15.26666641,1,-121.7291667,48.67916667
122,3127,1.537500024,10.8166666,-7.200000286,733,90,40,28.87475014,260,129,153,11.84166622,35.99290848,749.7609253,20.20000076,-12.69999981,32.90000153,-6.766666412,10.80000019,0,-119.9541667,48.64583333
123,1197,9.112500191,15.46666718,3.433333397,2222,352,36,62.17863083,1031,173,182,10.9416666,44.65986252,497.3709412,24.10000038,-0.400000006,24.5,3.833333254,15.28333282,0,-122.5375,46.2375
124,1579,8.387499809,16.01666641,1.099999905,1769,294,36,65.15412903,855,133,160,10.60833359,39.00122452,617.977356,24.70000076,-2.5,27.20000076,1.616666675,16,1,-121.2708333,48.25416667
125,2044,4.783333302,13.98333359,-4.133333683,900,158,20,64.59928131,441,85,86,11.19999981,34.67492294,747.7127075,23.20000076,-9.100000381,32.30000305,-3.600000143,13.9333334,1,-120.4791667,47.67083333
126,3471,5.349999905,13.11666679,-1.683333278,2417,382,47,60.09529114,1112,200,223,8.183333397,32.47354507,608.7730103,20.29999924,-4.900000095,25.19999886,-1.100000024,12.78333378,0,-121.4958333,47.6625
127,3742,3.266666651,12,-4.766666889,1744,284,38,61.52159119,823,157,163,10,33.89830399,692.6081543,20.29999924,-9.199999809,29.5,-4.283333302,11.80000019,0,-120.9875,47.90416667
128,1948,5.829166412,15.3166666,-3.5,1164,201,26,67.46910858,583,97,97,12.40833282,36.81998062,774.6332397,25.29999924,-8.399999619,33.69999695,-3,15.3166666,1,-120.8291667,48.39583333
129,2037,3.045833349,11.73333359,-4.933333397,1430,215,50,48.40674591,609,175,176,9.941666603,33.70056534,684.734375,20.10000038,-9.399999619,29.5,-4.466666698,11.38333321,1,-121.2708333,48.90416667
130,1789,7.316666603,14.89999962,0.199999973,2056,318,44,59.39945602,939,169,196,9.899999619,37.64258575,603.6605225,23.10000038,-3.200000048,26.30000114,0.783333302,14.6833334,1,-121.5041667,48.0625
131,4509,5.487500191,13.61666679,-2.016666651,1240,221,18,71.05748749,626,85,88,10.6916666,36.86781693,641.4866333,22.79999924,-6.199999809,29,-1.25,13.4333334,0,-121.3125,46.1875
132,1638,1.979166627,11.33333302,-6.75,767,99,39,32.79264069,286,130,154,11.75833321,35.73961258,750.8130493,20.60000038,-12.30000019,32.90000153,-6.333333492,11.23333359,1,-120.0625,48.67083333
